                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6816,                 5.7118,                 4.1161,                 3.4649,                  7.269,                 4.1175,                0.00021,                0.00556,                0.00013,                  4e-05,                 3.6378,                 5.3474,                 3.8319,                 3.3903,                 6.5099,                 3.6609,               0.070142,              0.0033175,              0.0033175
                      2,                  3.204,                 4.4609,                 3.2747,                 2.9268,                 5.1766,                 2.8315,                0.15794,                0.01189,                0.00547,                  0.002,                 2.7677,                 5.3234,                  2.859,                 2.5296,                 5.7329,                 2.4046,               0.040136,              0.0066443,              0.0066443
                      3,                 2.4614,                 3.4187,                 2.4893,                 2.3352,                 4.0889,                 2.1221,                0.27385,                0.02753,                0.02231,                 0.0106,                 2.2065,                 3.3062,                 2.3264,                 2.0708,                 3.9091,                 1.9982,               0.010122,              0.0099644,              0.0099644
                      4,                 2.0603,                 2.8669,                 2.1146,                 2.0604,                 3.5153,                 1.8556,                 0.2531,                0.04831,                0.04081,                0.02195,                 1.9047,                 2.9445,                 2.0065,                 1.8881,                 3.5191,                 1.7817,              0.0099703,              0.0099703,              0.0099703
                      5,                 1.8479,                 2.5341,                 1.9032,                  1.913,                 3.1059,                 1.7089,                0.24298,                0.06922,                0.05138,                0.02722,                 1.7487,                 2.5238,                 1.8632,                 1.7746,                 3.0387,                 1.6842,              0.0099703,              0.0099703,              0.0099703
                      6,                 1.7225,                 2.3359,                 1.7858,                 1.8195,                 2.8428,                 1.6294,                0.27645,                0.07393,                0.06349,                0.03517,                 1.6526,                 2.3263,                  1.745,                 1.7084,                 2.7765,                 1.5991,              0.0099604,              0.0099604,              0.0099604
                      7,                 1.6448,                  2.185,                 1.7074,                 1.7673,                 2.6486,                 1.5779,                0.31353,                0.08726,                0.07438,                0.04258,                 1.5728,                 2.1721,                 1.6738,                 1.6473,                 2.6136,                 1.5501,              0.0099505,              0.0099505,              0.0099505
                      8,                  1.585,                 2.0676,                 1.6484,                 1.7162,                 2.5091,                 1.5336,                0.30912,                0.08337,                0.08354,                0.05224,                 1.5218,                 2.1189,                 1.6242,                 1.6161,                 2.5151,                 1.5168,              0.0099406,              0.0099406,              0.0099406
                      9,                 1.5421,                 1.9795,                 1.6032,                 1.6998,                 2.4029,                 1.5117,                0.38931,                0.10536,                0.09386,                0.05679,                 1.4657,                 2.0317,                 1.5712,                  1.579,                 2.4123,                 1.4778,              0.0099307,              0.0099307,              0.0099307
                     10,                 1.4969,                 1.8998,                 1.5686,                 1.6596,                 2.3047,                 1.4859,                 0.3745,                0.11897,                0.10265,                0.06458,                 1.4237,                 1.9615,                 1.5282,                 1.5417,                 2.3453,                 1.4572,              0.0099208,              0.0099208,              0.0099208
                     11,                 1.4726,                  1.826,                  1.537,                 1.6479,                 2.2269,                 1.4671,                0.39894,                0.12477,                0.10995,                0.06924,                 1.4049,                 1.9276,                 1.5095,                 1.5249,                 2.3035,                 1.4351,              0.0099109,              0.0099109,              0.0099109
                     12,                 1.4384,                 1.7654,                 1.5043,                 1.6234,                 2.1626,                 1.4393,                  0.439,                0.12163,                0.11955,                0.07409,                 1.3891,                  1.864,                 1.4985,                 1.5071,                 2.1666,                 1.4267,               0.009901,               0.009901,               0.009901
                     13,                 1.4181,                 1.7129,                 1.4822,                 1.6127,                 2.0996,                 1.4276,                0.51499,                 0.1239,                0.12683,                0.08169,                 1.3405,                 1.7423,                 1.4551,                 1.4807,                 2.0558,                 1.4022,              0.0098911,              0.0098911,              0.0098911
                     14,                 1.3986,                 1.6828,                  1.473,                 1.5935,                  2.065,                 1.4211,                0.50553,                0.13171,                0.14319,                0.09071,                 1.3322,                 1.7094,                 1.4421,                 1.4764,                 2.0464,                 1.3887,              0.0098812,              0.0098812,              0.0098812
                     15,                 1.3798,                  1.641,                 1.4568,                 1.5805,                 2.0119,                 1.4102,                0.44898,                0.14573,                0.13663,                0.08808,                 1.3116,                 1.6881,                 1.4217,                 1.4615,                 2.0046,                 1.3817,              0.0098713,              0.0098713,              0.0098713
                     16,                 1.3624,                 1.6105,                 1.4376,                 1.5683,                 1.9791,                 1.3968,                0.44426,                0.15165,                0.15461,                 0.1011,                 1.2893,                 1.5862,                 1.4011,                 1.4475,                 1.9049,                 1.3723,              0.0098614,              0.0098614,              0.0098614
                     17,                 1.3453,                 1.5571,                 1.4134,                 1.5596,                 1.9291,                 1.3756,                0.39866,                0.15858,                0.14876,                0.09708,                 1.3054,                  1.653,                  1.415,                 1.4481,                 1.9768,                 1.3689,              0.0098515,              0.0098515,              0.0098515
                     18,                 1.3276,                 1.5384,                 1.4064,                 1.5412,                 1.9045,                 1.3743,                0.48677,                0.15374,                0.15771,                0.10414,                  1.253,                  1.582,                  1.366,                 1.4101,                 1.9118,                 1.3391,              0.0098416,              0.0098416,              0.0098416
                     19,                 1.3193,                 1.5205,                 1.3979,                 1.5365,                 1.8816,                 1.3663,                0.46183,                 0.1746,                0.16282,                0.10842,                 1.2466,                 1.5306,                 1.3595,                 1.4131,                 1.8407,                 1.3359,              0.0098317,              0.0098317,              0.0098317
